OID_,DEM_Large_S3_Regm1b,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
216,-13,-2.997358731150472,19.745663127536481,-13.0098162,-0.3561962,10.4656582,0.2890735
217,-13,-2.989902091150472,19.745663127536481,-13.0096006,-0.2994203,10.4774036,0.2688124
218,-13,-2.982445451150472,19.745663127536481,-13.0093575,-0.2495382,10.4642544,0.2565372
219,-13,-2.974988811150472,19.745663127536481,-13.0090942,-0.2121221,10.4273882,0.2551702
220,-13,-2.967532171150472,19.745663127536481,-13.0088139,-0.1946149,10.3653336,0.2637268
221,-13,-2.960075531150472,19.745663127536481,-13.0085192,-0.1970762,10.2870903,0.2778852
222,-13,-2.952618891150472,19.745663127536481,-13.0082111,-0.2145836,10.1946831,0.2925767
223,-13,-2.945162251150472,19.745663127536481,-13.0078869,-0.2415769,10.0916767,0.3038807
224,-13,-2.937705611150472,19.745663127536481,-13.0075445,-0.2801894,9.9843569,0.3094806
225,-13,-2.930248971150472,19.745663127536481,-13.0071821,-0.3275646,9.8799582,0.3089806
226,-13,-2.922792331150472,19.745663127536481,-13.0067959,-0.3778542,9.7836685,0.3032974
227,-13,-2.915335691150472,19.745663127536481,-13.0063791,-0.4251509,9.6992950,0.2937886
228,-13,-2.907879051150472,19.745663127536481,-13.0059309,-0.4663183,9.6301565,0.2817574
229,-13,-2.900422411150472,19.745663127536481,-13.0054474,-0.4975386,9.5770149,0.2680792
230,-13,-2.892965771150472,19.745663127536481,-13.0049257,-0.5149523,9.5404930,0.2534090
231,-13,-2.885509131150472,19.745663127536481,-13.0043669,-0.5206752,9.5153446,0.2385594
232,-13,-2.878052491150472,19.745663127536481,-13.0037699,-0.5238661,9.5004234,0.2238827
233,-13,-2.870595851150472,19.745663127536481,-13.0031376,-0.5295557,9.4979239,0.2093935
234,-13,-2.863139211150472,19.745663127536481,-13.0024681,-0.5363607,9.5130119,0.1952840
235,-13,-2.855682571150472,19.745663127536481,-13.0017614,-0.5317637,9.5438709,0.1821932
236,-13,-2.848225931150472,19.745663127536481,-13.0010176,-0.5136268,9.5784502,0.1713727
237,-13,-2.840769291150472,19.745663127536481,-13.0002375,-0.4902566,9.6115379,0.1647097
