OID_,DEM_Large_S3_Regm2b,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
1829,-13,-4.048744971150472,20.319824407536480,-13.2585735,-3.3352542,32.9766655,4.2171683
1830,-13,-4.041288331150472,20.319824407536480,-13.2548475,-3.4161301,33.7239494,3.8913982
1831,-13,-4.033831691150472,20.319824407536480,-13.2509089,-3.4779017,34.4518776,3.5802376
1832,-13,-4.026375051150472,20.319824407536480,-13.2467508,-3.5219498,35.1553841,3.2912235
1833,-13,-4.018918411150472,20.319824407536480,-13.2423687,-3.5521874,35.8482666,3.0322840
1834,-13,-4.011461771150472,20.319824407536480,-13.2377558,-3.5678515,36.5463982,2.8094201
1835,-13,-4.004005131150472,20.319824407536480,-13.2329082,-3.5576172,37.2570496,2.6239522
1836,-13,-3.996548491150472,20.319824407536480,-13.2278214,-3.5184281,37.9861832,2.4708052
1837,-13,-3.989091851150472,20.319824407536480,-13.2224913,-3.4395256,38.7338715,2.3396044
1838,-13,-3.981635211150472,20.319824407536480,-13.2169189,-3.3214009,39.4877205,2.2176900
1839,-13,-4.540883211150471,20.312367767536479,-13.2442503,0.7999505,13.6807432,3.6285942
1840,-13,-4.533426571150471,20.312367767536479,-13.2460308,1.0006741,14.2189617,3.7039330
1841,-13,-4.525969931150471,20.312367767536479,-13.2479305,1.1624738,14.8723450,3.7632883
1842,-13,-4.518513291150471,20.312367767536479,-13.2499504,1.2713244,15.6191359,3.7902286
1843,-13,-4.511056651150471,20.312367767536479,-13.2520905,1.3100382,16.4228592,3.7715850
1844,-13,-4.503600011150471,20.312367767536479,-13.2543421,1.2713346,17.2310753,3.6991038
1845,-13,-4.496143371150471,20.312367767536479,-13.2566929,1.1643258,17.9886360,3.5721581
1846,-13,-4.488686731150471,20.312367767536479,-13.2591248,1.0084457,18.6608715,3.3965368
1847,-13,-4.481230091150471,20.312367767536479,-13.2616177,0.8179950,19.2233276,3.1829665
1848,-13,-4.473773451150471,20.312367767536479,-13.2641487,0.5990703,19.6576233,2.9461141
1849,-13,-4.466316811150471,20.312367767536479,-13.2666969,0.3617068,19.9444275,2.7033782
1850,-13,-4.458860171150471,20.312367767536479,-13.2692356,0.1146937,20.0736122,2.4733927
1851,-13,-4.451403531150471,20.312367767536479,-13.2717438,-0.1290435,20.0440807,2.2735932
1852,-13,-4.443946891150471,20.312367767536479,-13.2741985,-0.3649863,19.8637352,2.1188531
1853,-13,-4.436490251150471,20.312367767536479,-13.2765808,-0.5850877,19.5444908,2.0184956
1854,-13,-4.429033611150471,20.312367767536479,-13.2788734,-0.7799310,19.0979080,1.9740162
1855,-13,-4.421576971150471,20.312367767536479,-13.2810621,-0.9367883,18.5533352,1.9776435
1856,-13,-4.414120331150471,20.312367767536479,-13.2831402,-1.0576543,17.9468784,2.0141034
1857,-13,-4.406663691150471,20.312367767536479,-13.2851038,-1.1530424,17.3042412,2.0669706
1858,-13,-4.399207051150471,20.312367767536479,-13.2869530,-1.2359171,16.6438942,2.1236956
1859,-13,-4.391750411150471,20.312367767536479,-13.2886868,-1.3054721,15.9757204,2.1769176
