OID_,ClipsFinal_DEM_Large_S3_RegD,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
72,-13,-5.390940171150472,20.662829847536479,-13.1418018,-0.0037190,24.7933884,-0.1647201,-0.4479770,4.0000000,-1.0135566,1.0819234,22.4454269,0.1176026,1.7890384
73,-13,-5.383483531150471,20.662829847536479,-13.1421604,-0.0033884,25.6198349,-0.1819127,-0.4287123,4.0000000,-1.0114578,1.0816184,22.4057636,0.1540332,1.7377002
74,-13,-5.376026891150472,20.662829847536479,-13.1424475,-0.0031405,26.4462814,-0.2026746,-0.4091350,4.0000000,-1.0070831,1.0813351,22.3692780,0.1888131,1.6976899
75,-13,-5.368570251150472,20.662829847536479,-13.1426620,-0.0029752,27.2727280,-0.2263581,-0.3860559,4.0000000,-0.9953036,1.0810738,22.3355865,0.2231919,1.6514755
76,-13,-5.361113611150472,20.662829847536479,-13.1428061,-0.0028926,27.2727280,-0.2492867,-0.3603972,4.0000000,-0.9758419,1.0808445,22.3047771,0.2550475,1.5955625
77,-13,-5.353656971150472,20.662829847536479,-13.1428814,-0.0028099,27.2727280,-0.2731466,-0.3333700,4.0000000,-0.9528911,1.0806431,22.2786655,0.2861511,1.5431885
78,-13,-5.346200331150472,20.662829847536479,-13.1428909,-0.0027273,27.2727280,-0.2979055,-0.3055199,5.0000000,-0.9280152,1.0804689,22.2578506,0.3169754,1.4980338
79,-13,-5.338743691150472,20.662829847536479,-13.1428337,-0.0028099,27.2727280,-0.3220756,-0.2758991,4.0000000,-0.8992790,1.0803401,22.2404575,0.3474808,1.4530662
80,-13,-5.331287051150472,20.662829847536479,-13.1427145,-0.0028926,27.2727280,-0.3446037,-0.2461134,4.0000000,-0.8690610,1.0802584,22.2278252,0.3768341,1.4126993
81,-13,-5.323830411150472,20.662829847536479,-13.1425323,-0.0030579,26.4462814,-0.3667772,-0.2144093,4.0000000,-0.8365914,1.0802115,22.2210197,0.4077728,1.3758748
82,-13,-5.316373771150472,20.662829847536479,-13.1422911,-0.0032231,25.6198349,-0.3880582,-0.1824161,4.0000000,-0.8041594,1.0801983,22.2203636,0.4393271,1.3473507
83,-13,-5.525159691150471,20.655373207536478,-13.1257448,0.0005785,34.7107430,-0.5825704,-0.3025038,4.0000000,0.1778308,1.0826443,22.5406990,-0.7828384,1.9878736
84,-13,-5.517703051150471,20.655373207536478,-13.1273470,0.0022314,40.4958687,-0.5221369,-0.3389858,4.0000000,0.0727395,1.0834281,22.6413784,-0.7507110,1.9589020
85,-13,-5.510246411150471,20.655373207536478,-13.1289024,0.0038843,46.2809906,-0.4621019,-0.3738791,4.0000000,-0.0328498,1.0840679,22.7225094,-0.7149083,1.9441439
86,-13,-5.502789771150471,20.655373207536478,-13.1304064,-0.0047107,18.1818180,-0.4034390,-0.4073037,4.0000000,-0.1384455,1.0845540,22.7830925,-0.6761618,1.9448365
87,-13,-5.495333131150471,20.655373207536478,-13.1318560,-0.0033058,22.3140488,-0.3476769,-0.4376113,4.0000000,-0.2403998,1.0849017,22.8260174,-0.6348228,1.9551498
88,-13,-5.487876491150471,20.655373207536478,-13.1332455,-0.0019008,26.4462814,-0.2952129,-0.4629863,4.0000000,-0.3368436,1.0851228,22.8541737,-0.5891289,1.9632798
89,-13,-5.480419851150471,20.655373207536478,-13.1345730,-0.0005785,31.4049587,-0.2463529,-0.4870908,4.0000000,-0.4328628,1.0852305,22.8682041,-0.5413187,1.9851243
90,-13,-5.472963211150471,20.655373207536478,-13.1358356,0.0006612,35.5371895,-0.1999494,-0.5084688,4.0000000,-0.5249440,1.0852338,22.8691158,-0.4919935,2.0069783
91,-13,-5.465506571150471,20.655373207536478,-13.1370296,0.0018182,39.6694221,-0.1598376,-0.5255392,4.0000000,-0.6110422,1.0851510,22.8565464,-0.4400363,2.0270996
92,-13,-5.458049931150471,20.655373207536478,-13.1381531,0.0028926,42.9752083,-0.1257858,-0.5380980,4.0000000,-0.6881570,1.0849856,22.8355446,-0.3880389,2.0390058
93,-13,-5.450593291150471,20.655373207536478,-13.1392031,0.0038843,46.2809906,-0.0983902,-0.5474667,4.0000000,-0.7592085,1.0847539,22.8073654,-0.3357249,2.0505958
94,-13,-5.443136651150471,20.655373207536478,-13.1401796,-0.0051240,19.0082645,-0.0775663,-0.5539303,4.0000000,-0.8234686,1.0844876,22.7731800,-0.2843920,2.0613103
