OID_,ClipsFinal_DEM_Large_S3_RegO,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
113,-13,-4.317184011150471,20.558436887536477,-13.1757431,-0.0007438,43.8016510,0.9442286,-1.1913422,4.0000000,-0.9651452,1.5583770,50.0275269,-1.4175392,23.0982819
114,-13,-4.309727371150471,20.558436887536477,-13.1745949,-0.0020661,42.9752083,0.6631374,-1.1366202,4.0000000,-0.9396687,1.5735717,50.4966354,-1.3335716,24.9270287
115,-13,-4.302270731150471,20.558436887536477,-13.1732922,-0.0033058,42.1487617,0.0525033,-0.9646060,4.0000000,-0.6245614,1.5896366,50.9886017,-1.3046507,20.2767563
116,-13,-4.294814091150471,20.558436887536477,-13.1718540,-0.0044628,41.3223152,-0.6151056,-0.8109071,4.0000000,-0.2546043,1.6048145,51.4444695,-1.3672098,18.6830540
117,-13,-4.287357451150471,20.558436887536477,-13.1704102,-0.0056198,40.4958687,-1.2939061,-0.7013157,4.0000000,0.1080920,1.6185648,51.8550720,-1.5107234,21.7298336
118,-13,-4.279900811150471,20.558436887536477,-13.1690054,0.0030579,49.5867767,-1.3885679,-0.8146104,4.0000000,0.1542722,1.6309520,52.2098465,-1.7834930,24.7149601
119,-13,-4.272444171150471,20.558436887536477,-13.1677570,0.0013223,47.9338837,-0.6379341,-1.1551133,4.0000000,-0.1457206,1.6441830,52.5800285,-2.1645062,27.0951004
120,-13,-4.264987531150471,20.558436887536477,-13.1665411,-0.0003306,46.2809906,1.0632999,-1.6420628,4.0000000,-0.7057045,1.6605585,53.0099030,-2.5784211,40.4033585
121,-13,-4.257530891150471,20.558436887536477,-13.1651783,-0.0019835,44.6280975,2.3169549,-1.9850956,4.0000000,-1.0084106,1.6785561,53.4826698,-2.9617808,58.3579216
122,-13,-4.250074251150471,20.558436887536477,-13.1635380,-0.0040496,42.9752083,3.4554555,-2.2753918,4.0000000,-1.1804729,1.6966976,53.9413528,-3.3703110,75.0077896
123,-13,-4.242617611150471,20.558436887536477,-13.1616335,-0.0063636,40.4958687,4.2987981,-2.4885335,4.0000000,-1.2630780,1.7143871,54.3677368,-3.7139893,88.2579041
124,-13,-4.235160971150471,20.558436887536477,-13.1593714,0.0015702,47.9338837,4.4470482,-2.5634627,4.0000000,-1.2048541,1.7298481,54.7732468,-3.9220712,90.6794434
125,-13,-4.227704331150471,20.558436887536477,-13.1567841,-0.0011570,45.4545441,3.9510930,-2.5397546,4.0000000,-1.0201347,1.7426066,55.0803566,-4.0593748,83.4088135
126,-13,-4.220247691150471,20.558436887536477,-13.1539164,-0.0039669,42.9752083,4.3294249,-2.6303382,4.0000000,-1.0363947,1.7537855,55.3167572,-4.2242818,87.6730728
127,-13,-4.212791051150471,20.558436887536477,-13.1507568,-0.0071901,39.6694221,4.8784280,-2.7423487,4.0000000,-1.1199377,1.7641727,55.5474205,-4.3647599,97.9799652
128,-13,-4.205334411150471,20.558436887536477,-13.1472092,-0.0007438,45.4545441,4.4429779,-2.7416105,4.0000000,-1.0246465,1.7728988,55.7374916,-4.4585748,98.1905899
129,-13,-4.197877771150471,20.558436887536477,-13.1432343,-0.0043802,41.3223152,2.9548287,-2.5674448,4.0000000,-0.7153115,1.7756481,55.8111496,-4.4195781,82.2560730
130,-13,-4.190421131150471,20.558436887536477,-13.1389694,0.0020661,47.1074371,1.2116454,-2.2910457,4.0000000,-0.3343787,1.7709070,55.7200279,-4.2477126,64.5253906
131,-13,-4.182964491150471,20.558436887536477,-13.1344643,-0.0018182,42.9752083,-0.3247462,-1.9951669,4.0000000,0.0233790,1.7586750,55.4376678,-4.0137129,54.5319672
132,-13,-4.175507851150471,20.558436887536477,-13.1298542,0.0038843,47.1074371,-1.4372133,-1.7831641,4.0000000,0.2816615,1.7402507,55.0092697,-3.8479898,53.7953796
133,-13,-4.168051211150471,20.558436887536477,-13.1251650,-0.0001653,42.9752083,-2.8094354,-1.3750461,4.0000000,0.7209435,1.7183830,54.5257263,-3.4710360,54.7921562
134,-13,-4.160594571150471,20.558436887536477,-13.1204081,-0.0041322,38.8429756,-3.9692855,-0.7819304,4.0000000,1.3169289,1.6862482,53.7393227,-2.8807898,67.1021423
135,-13,-4.466316811150471,20.550980247536479,-13.1551743,0.0008264,42.9752083,-3.1761386,0.3675693,4.0000000,1.1431544,1.7109950,54.4706688,-0.4080158,81.9471436
136,-13,-4.458860171150471,20.550980247536479,-13.1596050,0.0042975,47.1074371,-2.7730818,-0.2581877,4.0000000,0.4679579,1.7435122,55.2882919,-0.9843333,53.3936539
137,-13,-4.451403531150471,20.550980247536479,-13.1639328,-0.0020661,42.1487617,-1.6783165,-0.8220559,4.0000000,-0.1467740,1.7643522,55.7684898,-1.4973378,45.6733704
138,-13,-4.443946891150471,20.550980247536479,-13.1679802,0.0014050,46.2809906,0.0028914,-1.1924582,4.0000000,-0.5389883,1.7751790,56.0210266,-1.8459281,40.7770462
139,-13,-4.436490251150471,20.550980247536479,-13.1717272,-0.0054545,40.4958687,1.8250614,-1.5911738,4.0000000,-0.9578758,1.7780907,56.0814629,-2.2244718,52.5888290
140,-13,-4.429033611150471,20.550980247536479,-13.1752472,-0.0025620,43.8016510,3.5265908,-1.9773369,4.0000000,-1.3665679,1.7650872,55.7773247,-2.5881059,80.3932953
141,-13,-4.421576971150471,20.550980247536479,-13.1782141,-0.0000826,46.2809906,4.6885509,-2.3157644,4.0000000,-1.5875057,1.7371588,55.1433563,-3.0440228,103.3777237
142,-13,-4.414120331150471,20.550980247536479,-13.1806974,-0.0076033,39.6694221,4.7206621,-2.5126009,4.0000000,-1.5514559,1.7077374,54.4414062,-3.4737463,109.6087265
143,-13,-4.406663691150471,20.550980247536479,-13.1828241,-0.0054545,41.3223152,4.0654888,-2.5912142,4.0000000,-1.4304221,1.6791677,53.6882668,-3.7520065,108.7583847
