OID_,ClipsFinal_DEM_Large_S3_RegI,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
95,-12,-5.517703051150471,22.489706647536480,-12.7936735,-0.0019008,33.0578499,0.2461318,-0.6862322,4.0000000,-1.1558411,1.1381032,28.5961590,-0.2166232,2.9911532
96,-12,-5.510246411150471,22.489706647536480,-12.7949915,-0.0005785,36.3636360,0.3822156,-0.7364039,4.0000000,-1.1106464,1.1352961,28.3331928,-0.3621614,2.8884940
97,-12,-5.502789771150471,22.489706647536480,-12.7963142,0.0007438,39.6694221,0.3719454,-0.7515970,4.0000000,-1.0229436,1.1325777,28.1113605,-0.4802504,2.9130011
98,-12,-5.495333131150471,22.489706647536480,-12.7975359,0.0018182,42.1487617,0.8855538,-1.0543801,4.0000000,-1.4670036,1.1288114,27.7299671,-0.6417564,5.1824646
99,-12,-5.487876491150471,22.489706647536480,-12.7986641,0.0028099,44.6280975,1.1523551,-1.1726823,4.0000000,-1.6061938,1.1246914,27.3325996,-0.7391708,6.0533571
100,-12,-5.480419851150471,22.489706647536480,-12.7996340,0.0038843,47.9338837,0.9322796,-1.1038649,4.0000000,-1.5531027,1.1206813,26.9655170,-0.6546271,5.6189313
101,-12,-5.472963211150471,22.489706647536480,-12.8005037,-0.0050413,23.9669418,0.2418981,-0.8088279,4.0000000,-1.1548936,1.1171865,26.6142921,-0.4627621,3.7954581
102,-12,-5.465506571150471,22.489706647536480,-12.8013134,-0.0040496,26.4462814,-0.3196058,-0.6546620,4.0000000,-1.0639206,1.1133460,26.1809311,-0.2454033,4.0326238
103,-12,-5.458049931150471,22.489706647536480,-12.8020878,-0.0031405,28.0991745,-0.6747774,-0.5618873,4.0000000,-1.0239242,1.1085107,25.6460400,-0.0998503,4.3186617
104,-12,-5.450593291150471,22.489706647536480,-12.8027811,-0.0023967,29.7520657,-0.9121711,-0.3344284,4.0000000,-0.6827100,1.1032438,25.0396652,0.0138532,3.5223136
105,-12,-5.592269451150471,22.482250007536479,-12.7804127,-0.0048760,23.1404953,-0.3775424,-0.1865907,4.0000000,0.2552755,1.1398556,28.7194767,-0.6284569,1.3908684
106,-12,-5.584812811150471,22.482250007536479,-12.7824135,-0.0031405,28.0991745,-0.3500107,-0.4103057,4.0000000,-0.0501664,1.1409314,28.7908993,-0.7704452,2.0961306
107,-12,-5.577356171150471,22.482250007536479,-12.7843618,-0.0011570,33.0578499,-0.2953282,-0.6115853,4.0000000,-0.3007073,1.1413392,28.8228664,-0.9224632,3.2527010
108,-12,-5.569899531150471,22.482250007536479,-12.7862301,0.0005785,38.0165291,-0.2122864,-0.6794204,4.0000000,-0.4464207,1.1406808,28.7425823,-0.9124200,3.6184292
109,-12,-5.562442891150471,22.482250007536479,-12.7879887,0.0024793,42.9752083,-0.1521168,-0.6796729,4.0000000,-0.4882969,1.1401632,28.7184525,-0.8710490,3.4629362
