OID_,ClipsFinal_DEM_Large_S3_RegA,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
67,-13,-4.913715211150471,17.583237527536479,-13.0665874,0.0000000,0.0000000,1.5562049,-1.7576799,4.0000000,-0.9761124,1.0008318,2.2504578,-2.5392475,9.2654276
68,-13,-4.906258571150471,17.583237527536479,-13.0667973,0.0000000,0.0000000,2.1067915,-2.0056353,6.0000000,-0.7858776,1.0002341,0.9805652,-3.2253928,11.8808002
69,-13,-4.898801931150471,17.583237527536479,-13.0668402,0.0000000,0.0000000,2.5015807,-2.1882560,7.0000000,-2.9657493,1.0001973,0.6521330,-1.4107630,14.1552467
70,-13,-4.891345291150471,17.583237527536479,-13.0666685,0.0000000,0.0000000,2.1403940,-1.9591433,4.0000000,-1.7533983,1.0008800,2.3175085,-2.1648884,11.1058445
71,-13,-4.883888651150471,17.583237527536479,-13.0662918,0.0000000,0.0000000,1.2664450,-1.4430668,4.0000000,-1.4642183,1.0017383,3.4525616,-1.4219154,5.8396292
72,-13,-4.876432011150472,17.583237527536479,-13.0658426,0.0000000,0.0000000,0.3948362,-0.8661433,4.0000000,-1.1579098,1.0024621,4.0887809,-0.5743769,2.2390275
73,-13,-4.868975371150471,17.583237527536479,-13.0653095,0.0000000,0.0000000,-0.1080968,-0.4109381,4.0000000,-0.8622255,1.0029209,4.4687729,0.0403494,0.9071862
74,-13,-4.980824971150471,17.575780887536478,-13.0607738,-0.0030579,0.0000000,0.0668998,0.8975054,3.0000000,1.6060668,1.0032595,4.6007009,0.1889439,3.1450772
75,-13,-4.973368331150471,17.575780887536478,-13.0613728,-0.0021488,0.0000000,0.5786124,0.9933416,3.0000000,1.4120663,1.0035098,4.7550364,0.5746169,2.8401120
76,-13,-4.965911691150471,17.575780887536478,-13.0620270,-0.0012397,0.0000000,0.6540425,0.9555606,4.0000000,1.1489624,1.0041684,5.2421317,0.7621587,2.3903022
77,-13,-4.958455051150471,17.575780887536478,-13.0627375,-0.0004132,0.0000000,0.1657755,0.6386681,4.0000000,0.8532428,1.0047188,5.6161022,0.4240935,1.3307211
78,-13,-4.950998411150471,17.575780887536478,-13.0634756,0.0000000,0.0000000,-0.1843832,0.1919287,4.0000000,0.5132173,1.0049531,5.7643247,-0.1293599,0.5292519
79,-13,-4.943541771150471,17.575780887536478,-13.0642166,0.0000000,0.0000000,-0.1145710,-0.2211449,4.0000000,0.1466801,1.0048025,5.6668658,-0.5889699,0.4299352
80,-13,-4.936085131150471,17.575780887536478,-13.0649242,0.0000000,0.0000000,0.2842062,-0.7104508,4.0000000,-0.2537946,1.0043273,5.3936582,-1.1671070,1.4648594
81,-13,-4.928628491150471,17.575780887536478,-13.0655813,0.0000000,0.0000000,0.9708209,-1.1865531,4.0000000,-0.6890478,1.0033669,4.7543607,-1.6840584,3.7247934
82,-13,-4.921171851150471,17.575780887536478,-13.0661097,0.0000000,0.0000000,1.8160708,-1.5999787,4.0000000,-1.1469206,1.0021387,3.7604084,-2.0530367,6.6522417
83,-13,-4.913715211150471,17.575780887536478,-13.0665102,0.0000000,0.0000000,2.5286069,-1.8508930,4.0000000,-1.5719279,1.0011204,2.6704419,-2.1298580,8.6791735
