OID_,ClipsFinal_DEM_Large_S3_RegP,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
169,-13,-4.332097291150472,19.290808087536480,-13.1984758,0.0026446,41.3223152,0.9067299,-1.3870723,5.0000000,-1.9179785,1.0697072,20.8031540,-0.8561660,8.2774420
170,-13,-4.324640651150472,19.290808087536480,-13.1964111,0.0005785,33.8842964,0.9241647,-1.3956528,4.0000000,-1.7889758,1.0761256,21.6860237,-1.0023297,8.4661636
171,-13,-4.317184011150472,19.290808087536480,-13.1941938,-0.0016529,27.2727280,0.8980048,-1.3910785,4.0000000,-1.6446621,1.0828856,22.5701313,-1.1374948,8.5563269
172,-13,-4.309727371150472,19.290808087536480,-13.1918221,-0.0040496,21.4876041,0.8377448,-1.3768042,4.0000000,-1.4914709,1.0899471,23.4495602,-1.2621375,8.5735130
173,-13,-4.302270731150472,19.290808087536480,-13.1892939,0.0033884,46.2809906,0.7444890,-1.3526759,4.0000000,-1.3309420,1.0973052,24.3215714,-1.3744098,8.5151758
174,-13,-4.294814091150472,19.290808087536480,-13.1866064,0.0007438,37.1900826,0.6265128,-1.3174490,4.0000000,-1.1650676,1.1049018,25.1804447,-1.4698304,8.3471632
175,-13,-4.287357451150472,19.290808087536480,-13.1837606,-0.0021488,28.9256191,0.4894504,-1.2727886,4.0000000,-0.9975046,1.1126572,26.0187016,-1.5480727,8.0913820
176,-13,-4.279900811150472,19.290808087536480,-13.1807575,-0.0052066,21.4876041,0.3422296,-1.2194535,4.0000000,-0.8301812,1.1205109,26.8316174,-1.6087258,7.7485614
177,-13,-4.272444171150472,19.290808087536480,-13.1775990,0.0016529,42.1487617,0.1884696,-1.1554092,4.0000000,-0.6627144,1.1283590,27.6116390,-1.6481041,7.2983747
178,-13,-4.264987531150472,19.290808087536480,-13.1742907,-0.0016529,33.0578499,0.0373113,-1.0844164,4.0000000,-0.4995878,1.1360893,28.3490829,-1.6692450,6.7906146
179,-13,-4.257530891150472,19.290808087536480,-13.1708374,-0.0049587,24.7933884,-0.1051862,-1.0065895,4.0000000,-0.3418849,1.1436354,29.0432930,-1.6712942,6.2326264
180,-13,-4.250074251150472,19.290808087536480,-13.1672449,0.0014050,41.3223152,-0.2357296,-0.9238737,4.0000000,-0.1911149,1.1508580,29.6861191,-1.6566325,5.6606021
181,-13,-4.242617611150472,19.290808087536480,-13.1635218,-0.0023140,32.2314034,-0.3539115,-0.8337730,4.0000000,-0.0458771,1.1576629,30.2731380,-1.6216688,5.0707755
182,-13,-4.235160971150473,19.290808087536480,-13.1596766,0.0038843,48.7603302,-0.4583211,-0.7408648,4.0000000,0.0924938,1.1639566,30.8007145,-1.5742234,4.5291209
183,-13,-4.227704331150473,19.290808087536480,-13.1557188,0.0000826,39.6694221,-0.5462773,-0.6433867,4.0000000,0.2236691,1.1696190,31.2630062,-1.5104426,4.0314612
184,-13,-4.220247691150472,19.290808087536480,-13.1516600,-0.0038843,30.5785122,-0.6202351,-0.5449534,4.0000000,0.3465333,1.1745611,31.6581841,-1.4364401,3.6301484
185,-13,-4.212791051150472,19.290808087536480,-13.1475115,0.0019835,42.9752083,-0.6824337,-0.4448948,4.0000000,0.4622029,1.1787137,31.9845791,-1.3519926,3.3368132
186,-13,-4.205334411150472,19.290808087536480,-13.1432848,-0.0021488,33.8842964,-0.7312582,-0.3446024,4.0000000,0.5685715,1.1820608,32.2427750,-1.2577763,3.1574929
