OID_,ClipsFinal_DEM_Large_S3_RegS2,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
118,-12,-2.378457611150471,21.751499287536483,-12.7569094,0.0021488,31.4049587,-0.1510313,-0.2105225,4.0000000,0.0480314,1.0225821,12.0627842,-0.4690765,0.5137308
119,-12,-2.371000971150471,21.751499287536483,-12.7553434,0.0003306,22.3140488,-0.1290463,-0.2019086,4.0000000,0.0346900,1.0235833,12.3237104,-0.4385073,0.4527707
120,-12,-2.363544331150471,21.751499287536483,-12.7537441,-0.0014876,13.2231407,-0.1109993,-0.1912060,4.0000000,0.0240560,1.0245415,12.5675421,-0.4064680,0.3971614
121,-12,-2.356087691150471,21.751499287536483,-12.7521152,-0.0032231,4.9586778,-0.0941680,-0.1733919,4.0000000,0.0153787,1.0254531,12.7947950,-0.3621625,0.3341468
122,-12,-2.348631051150471,21.751499287536483,-12.7504578,-0.0046281,0.8264463,-0.0782234,-0.1536947,4.0000000,0.0066968,1.0262837,12.9978228,-0.3140861,0.2728542
123,-12,-2.341174411150471,21.751499287536483,-12.7487764,0.0039669,44.6280975,-0.0649681,-0.1298140,4.0000000,0.0010173,1.0270226,13.1760683,-0.2606453,0.2156396
124,-12,-2.333717771150471,21.751499287536483,-12.7470732,0.0023140,35.5371895,-0.0541027,-0.1043354,4.0000000,-0.0033614,1.0276793,13.3323021,-0.2053094,0.1667731
125,-12,-2.326261131150471,21.751499287536483,-12.7453527,0.0004959,26.4462814,-0.0443813,-0.0757885,4.0000000,-0.0079857,1.0282269,13.4592438,-0.1435914,0.1236604
126,-12,-2.318804491150471,21.751499287536483,-12.7436180,-0.0013223,17.3553715,-0.0372642,-0.0467901,4.0000000,-0.0128223,1.0286546,13.5603209,-0.0807580,0.0928670
127,-12,-2.311347851150471,21.751499287536483,-12.7418737,-0.0031405,8.2644625,-0.0315997,-0.0164601,4.0000000,-0.0151816,1.0289742,13.6343012,-0.0177386,0.0720655
128,-12,-2.945162251150471,21.744042647536482,-12.7944479,-0.0008264,0.8264463,-0.0847323,-0.2674275,4.0000000,-0.6454061,1.0081402,7.2854729,0.1105511,0.4773767
129,-12,-2.937705611150471,21.744042647536482,-12.7950048,-0.0004132,1.6528926,-0.1039722,-0.2932422,4.0000000,-0.7078588,1.0075855,7.0336332,0.1213744,0.5764732
130,-12,-2.930248971150471,21.744042647536482,-12.7955294,0.0000000,3.3057852,-0.1260714,-0.3157914,4.0000000,-0.7681987,1.0070070,6.7600904,0.1366159,0.6777241
131,-12,-2.922792331150471,21.744042647536482,-12.7960196,0.0003306,4.9586778,-0.1499141,-0.3343395,4.0000000,-0.8240519,1.0064160,6.4693899,0.1553729,0.7749357
132,-12,-2.915335691150471,21.744042647536482,-12.7964725,0.0005785,6.6115704,-0.1771987,-0.3503101,4.0000000,-0.8791810,1.0058185,6.1604414,0.1785609,0.8739162
133,-12,-2.907879051150471,21.744042647536482,-12.7968864,0.0008264,8.2644625,-0.2061581,-0.3595777,4.0000000,-0.9253435,1.0052264,5.8389740,0.2061879,0.9577373
134,-12,-2.900422411150471,21.744042647536482,-12.7972574,0.0009917,9.9173555,-0.2342473,-0.3625984,4.0000000,-0.9603161,1.0046521,5.5085430,0.2351194,1.0212065
135,-12,-2.892965771150471,21.744042647536482,-12.7975864,0.0012397,12.3966942,-0.2633635,-0.3585938,4.0000000,-0.9826954,1.0041105,5.1765761,0.2655078,1.0657177
136,-12,-2.885509131150471,21.744042647536482,-12.7978716,0.0014876,14.8760328,-0.2895765,-0.3475395,4.0000000,-0.9881149,1.0036031,4.8460116,0.2930359,1.0841115
137,-12,-2.878052491150471,21.744042647536482,-12.7981129,0.0017355,17.3553715,-0.3117413,-0.3323149,4.0000000,-0.9785564,1.0031391,4.5224686,0.3139265,1.0840312
138,-12,-2.870595851150471,21.744042647536482,-12.7983131,0.0019008,19.0082645,-0.3290572,-0.3104656,4.0000000,-0.9479975,1.0027227,4.2099204,0.3270662,1.0593503
139,-12,-2.863139211150471,21.744042647536482,-12.7984724,0.0019835,19.8347111,-0.3422186,-0.2839133,4.0000000,-0.8986568,1.0023520,3.9121850,0.3308301,1.0196021
140,-12,-2.855682571150471,21.744042647536482,-12.7985916,0.0020661,20.6611576,-0.3476748,-0.2541138,4.0000000,-0.8291236,1.0020288,3.6323516,0.3208961,0.9637225
141,-12,-2.848225931150471,21.744042647536482,-12.7986746,0.0019835,19.8347111,-0.3499881,-0.2234944,4.0000000,-0.7462125,1.0017498,3.3731706,0.2992237,0.9076735
142,-12,-2.430654091150471,21.744042647536482,-12.7671108,0.0024793,28.9256191,-0.2945687,-0.1979747,4.0000000,0.1611366,1.0150166,9.8634501,-0.5570859,0.7828619
143,-12,-2.423197451150471,21.744042647536482,-12.7658281,0.0008264,19.8347111,-0.2672263,-0.2136545,4.0000000,0.1333035,1.0160236,10.1856508,-0.5606124,0.7542252
