OID_,DEM_Large_S3_RegL2,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
104,-12,-3.370190731150471,19.029825687536480,-12.9974232,-0.0070248,19.8347111,-24.5886288,-8.0756092,4.0000000,-0.2598617,1.2652963,33.2744141,-15.8913574,479.0450745
105,-12,-3.362734091150471,19.029825687536480,-12.9987869,-0.0057025,23.1404953,53.5976830,-9.1575871,4.0000000,-4.5585666,1.2797433,36.1760483,-13.7566071,408.4837036
106,-13,-3.355277451150471,19.029825687536480,-13.0001421,-0.0042975,26.4462814,49.0196152,-9.2220955,4.0000000,-4.6361175,1.2231579,34.9528046,-13.8080740,421.1705017
107,-13,-3.347820811150471,19.029825687536480,-13.0014830,-0.0028926,29.7520657,-18.4359283,-5.0970688,4.0000000,0.6077940,1.1806376,31.9713516,-10.8019323,208.9748993
108,-13,-3.340364171150471,19.029825687536480,-13.0028057,-0.0014876,33.0578499,-28.5224438,-1.4872683,4.0000000,3.2562599,1.1652341,30.3854237,-6.2307963,107.6374283
109,-13,-3.332907531150471,19.029825687536480,-13.0041027,-0.0000826,37.1900826,-1.6530817,-0.7449000,4.0000000,-0.8296378,1.1701045,31.3646431,-0.6601621,10.6537323
110,-13,-3.325450891150471,19.029825687536480,-13.0053635,0.0012397,41.3223152,-19.8523331,-0.0420185,4.0000000,-4.4503703,1.1608475,29.1635151,4.3663330,71.1181030
111,-13,-3.317994251150471,19.029825687536480,-13.0065804,0.0025620,46.2809906,-54.3217087,0.7884424,4.0000000,-6.6203632,1.1139379,25.9099178,8.1972475,165.9716492
112,-13,-3.310537611150471,19.029825687536480,-13.0077400,0.0039669,52.0661163,-70.6032257,2.2762344,4.0000000,-4.5706663,1.0853354,21.6763268,9.1231346,206.3367004
113,-13,-3.303080971150471,19.029825687536480,-13.0088291,0.0053719,57.8512383,1.9192631,6.7776628,3.0000000,1.9749590,1.0694621,19.4260368,11.5803671,209.3027344
114,-13,-3.295624331150471,19.029825687536480,-13.0098324,-0.0034711,16.5289249,40.5461121,8.8268423,3.0000000,3.0445089,1.0665874,20.1860447,14.6091757,265.9679565
115,-13,-3.288167691150471,19.029825687536480,-13.0107393,-0.0023967,17.3553715,-21.5068111,4.7639356,3.0000000,-1.3336654,1.0706072,20.0854206,10.8615360,154.3869934
116,-13,-3.280711051150471,19.029825687536480,-13.0115404,-0.0015702,17.3553715,-60.2644386,0.1296630,3.0000000,-4.9036379,1.0568655,18.2030411,5.1629639,148.0869446
