OID_,RegN,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
103,-13,-4.384293771150471,20.103581847536478,-13.2504320,-0.0035537,0.0000000,-2.4106300,0.8412108,4.0000000,-0.6911699,1.0084941,7.4284773,2.3735914,7.8251662
104,-13,-4.376837131150471,20.103581847536478,-13.2496109,0.0057851,57.8512383,-2.6564195,1.1566794,4.0000000,-0.7898203,1.0086082,7.4512467,3.1031790,10.8759270
105,-13,-4.369380491150471,20.103581847536478,-13.2488651,0.0051240,51.2396698,-2.8747578,1.4273624,3.0000000,-0.7807421,1.0088962,7.5473685,3.6354671,14.1662283
106,-13,-4.361923851150471,20.103581847536478,-13.2482128,0.0044628,45.4545441,-3.1158059,1.6410403,4.0000000,-0.5658931,1.0095490,7.7969637,3.8479736,17.3706665
107,-13,-4.578166411150471,20.096125207536481,-13.2481050,0.0023967,23.9669418,-0.2114680,-0.2500685,4.0000000,-0.7713594,1.0039440,5.0672765,0.2712225,0.6878681
108,-13,-4.570709771150471,20.096125207536481,-13.2487659,0.0033058,33.0578499,-0.2905070,-0.1900019,4.0000000,-0.7405994,1.0041014,5.1668134,0.3605956,0.7408144
109,-13,-4.563253131150471,20.096125207536481,-13.2494440,0.0042149,42.1487617,-0.3453911,-0.1438978,4.0000000,-0.6931176,1.0043052,5.2970724,0.4053220,0.7897425
110,-13,-4.555796491150471,20.096125207536481,-13.2501421,-0.0048760,0.0000000,-0.3572160,-0.1261705,4.0000000,-0.6316150,1.0045382,5.4410729,0.3792739,0.7946597
111,-13,-4.548339851150471,20.096125207536481,-13.2508612,-0.0039669,0.0000000,-0.3190142,-0.1458361,4.0000000,-0.5628675,1.0047511,5.5739360,0.2711953,0.7393084
112,-13,-4.540883211150471,20.096125207536481,-13.2515945,-0.0030579,0.0000000,-0.2406992,-0.2001889,5.0000000,-0.4961290,1.0048907,5.6600513,0.0957512,0.6567437
113,-13,-4.533426571150471,20.096125207536481,-13.2523355,-0.0021488,0.0000000,-0.1340606,-0.2801668,4.0000000,-0.4415308,1.0049179,5.6788826,-0.1188028,0.5954890
114,-13,-4.525969931150471,20.096125207536481,-13.2530727,-0.0012397,0.0000000,-0.0033512,-0.3838070,4.0000000,-0.4055994,1.0048071,5.6202240,-0.3620145,0.6078741
115,-13,-4.518513291150471,20.096125207536481,-13.2537947,-0.0003306,0.0000000,0.1514980,-0.5116331,4.0000000,-0.3957443,1.0045325,5.4618559,-0.6275218,0.7555704
116,-13,-4.511056651150471,20.096125207536481,-13.2544861,0.0000000,0.0000000,0.3363979,-0.6664340,4.0000000,-0.4118834,1.0040869,5.1917605,-0.9209846,1.1164048
117,-13,-4.503600011150471,20.096125207536481,-13.2551317,0.0000000,0.0000000,0.5609469,-0.8483575,4.0000000,-0.4575396,1.0034719,4.7897921,-1.2391754,1.7723399
118,-13,-4.496143371150471,20.096125207536481,-13.2557116,0.0000000,0.0000000,0.8290312,-1.0507551,4.0000000,-0.5320516,1.0027128,4.2329650,-1.5694586,2.7765858
119,-13,-4.488686731150471,20.096125207536481,-13.2562056,0.0000000,0.0000000,1.1298354,-1.2548739,4.0000000,-0.6416799,1.0018870,3.5208390,-1.8680677,4.0581121
120,-13,-4.481230091150471,20.096125207536481,-13.2565928,0.0000000,0.0000000,1.4406134,-1.4417439,4.0000000,-0.8150835,1.0011027,2.6683836,-2.0684042,5.4490395
121,-13,-4.473773451150471,20.096125207536481,-13.2568531,0.0000000,0.0000000,1.7218747,-1.5899309,5.0000000,-1.1970464,1.0004981,1.7364857,-1.9828155,6.6777368
122,-13,-4.466316811150471,20.096125207536481,-13.2569733,0.0000000,0.0000000,1.9229100,-1.6815332,6.0000000,-2.3909078,1.0001965,0.9701712,-0.9721585,7.4700460
123,-13,-4.458860171150471,20.096125207536481,-13.2569437,0.0000000,0.0000000,2.0215693,-1.7183434,5.0000000,-1.8096181,1.0002755,1.1991706,-1.6270688,7.7747622
124,-13,-4.451403531150471,20.096125207536481,-13.2567635,0.0000000,0.0000000,2.0006955,-1.7051175,4.0000000,-1.1016598,1.0007629,2.1578190,-2.3085752,7.6441374
125,-13,-4.443946891150471,20.096125207536481,-13.2564325,0.0000000,0.0000000,1.8406197,-1.6410035,4.0000000,-0.9274381,1.0016418,3.2395086,-2.3545690,7.1207881
126,-13,-4.436490251150471,20.096125207536481,-13.2559557,0.0000000,0.0000000,1.5317098,-1.5181243,4.0000000,-0.8439368,1.0028471,4.3022728,-2.1923118,6.2019787
127,-13,-4.429033611150471,20.096125207536481,-13.2553425,-0.0002479,0.0000000,1.0807624,-1.3332603,4.0000000,-0.7692934,1.0042619,5.2866049,-1.8972272,5.0079861
128,-13,-4.421576971150471,20.096125207536481,-13.2546101,-0.0007438,0.0000000,0.5236403,-1.0866758,4.0000000,-0.6903245,1.0057434,6.1481295,-1.4830270,3.7418253
