OID_,RegF2,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
126,-13,-4.854062091150472,18.589883927536480,-13.2414980,-0.0033058,16.5289249,-0.3697032,0.1978777,4.0000000,0.3078840,1.0515319,18.0094891,0.0878713,1.1067899
127,-13,-4.846605451150472,18.589883927536480,-13.2403603,-0.0043802,13.2231407,-0.3517811,0.2476920,4.0000000,0.3618462,1.0507886,17.8850021,0.1335377,1.1714753
128,-13,-4.839148811150472,18.589883927536480,-13.2392092,0.0044628,46.2809906,-0.3255703,0.2986566,4.0000000,0.4103978,1.0500246,17.7559700,0.1869153,1.2422683
129,-13,-4.831692171150472,18.589883927536480,-13.2380486,0.0033884,41.3223152,-0.2834006,0.3529187,4.0000000,0.4570571,1.0492499,17.6234169,0.2487802,1.3094742
130,-13,-4.824235531150472,18.589883927536480,-13.2368803,0.0022314,36.3636360,-0.2251700,0.4114312,4.0000000,0.5063679,1.0484563,17.4866199,0.3164945,1.3821722
131,-13,-4.816778891150472,18.589883927536480,-13.2357082,0.0010744,31.4049587,-0.1429827,0.4753578,4.0000000,0.5588433,1.0476497,17.3459435,0.3918723,1.4535679
132,-13,-4.809322251150472,18.589883927536480,-13.2345362,-0.0000826,26.4462814,-0.0399282,0.5425569,4.0000000,0.6162800,1.0468011,17.1975269,0.4688339,1.5303662
133,-13,-5.107587851150472,18.582427287536483,-13.2582293,0.0029752,41.3223152,-0.3912910,-0.2631098,4.0000000,-0.3412650,1.0377754,15.5074520,-0.1849547,1.2364649
134,-13,-5.100131211150472,18.582427287536483,-13.2584867,0.0032231,42.1487617,-0.3926624,-0.2353010,4.0000000,-0.3401397,1.0389568,15.7402964,-0.1304624,1.1823469
135,-13,-5.092674571150472,18.582427287536483,-13.2587137,0.0034711,42.9752083,-0.4031100,-0.2106037,4.0000000,-0.3446854,1.0401775,15.9756193,-0.0765220,1.1623585
136,-13,-5.085217931150471,18.582427287536483,-13.2589121,0.0037190,43.8016510,-0.4200497,-0.1958832,4.0000000,-0.3697167,1.0414368,16.2152328,-0.0220496,1.1823020
137,-13,-5.077761291150471,18.582427287536483,-13.2590809,0.0039669,44.6280975,-0.4416212,-0.1931103,4.0000000,-0.4211851,1.0427340,16.4582577,0.0349646,1.2386628
138,-13,-5.070304651150471,18.582427287536483,-13.2592182,0.0041322,45.4545441,-0.4668470,-0.1894198,4.0000000,-0.4788370,1.0440718,16.7051525,0.0999975,1.3035525
139,-13,-5.062848011150471,18.582427287536483,-13.2593203,0.0041322,45.4545441,-0.4879514,-0.1732624,4.0000000,-0.5184353,1.0454417,16.9525642,0.1719106,1.3359489
140,-13,-5.055391371150471,18.582427287536483,-13.2593851,0.0041322,45.4545441,-0.5021715,-0.1493409,4.0000000,-0.5470518,1.0468264,17.2004128,0.2483701,1.3411396
141,-13,-5.047934731150471,18.582427287536483,-13.2594137,0.0041322,45.4545441,-0.5141836,-0.1264997,5.0000000,-0.5816373,1.0482115,17.4444275,0.3286379,1.3473637
142,-13,-5.040478091150471,18.582427287536483,-13.2594051,0.0041322,45.4545441,-0.5274572,-0.1018974,4.0000000,-0.6180895,1.0495768,17.6810055,0.4142946,1.3585042
143,-13,-5.033021451150471,18.582427287536483,-13.2593565,0.0040496,45.4545441,-0.5357434,-0.0741662,4.0000000,-0.6472991,1.0509028,17.9056187,0.4989667,1.3583577
144,-13,-5.025564811150471,18.582427287536483,-13.2592678,0.0039669,45.4545441,-0.5379834,-0.0419797,4.0000000,-0.6644433,1.0521632,18.1183891,0.5804838,1.3453243
145,-13,-5.018108171150471,18.582427287536483,-13.2591381,0.0038843,45.4545441,-0.5386019,-0.0128028,4.0000000,-0.6794528,1.0533249,18.3121586,0.6538472,1.3372012
