OID_,RegL,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
120,-12,-2.341174411150472,20.125951767536478,-12.8920813,-0.0030579,6.6115704,0.3003462,0.6225675,4.0000000,0.4820451,1.0212713,11.7121134,0.7630898,1.0178136
121,-12,-2.333717771150472,20.125951767536478,-12.8917561,-0.0033884,4.9586778,0.2920217,0.6105710,4.0000000,0.4812265,1.0208503,11.5977335,0.7399155,0.9717324
122,-12,-2.326261131150472,20.125951767536478,-12.8914547,-0.0037190,3.3057852,0.2568202,0.5794922,4.0000000,0.4499295,1.0204445,11.4848480,0.7090548,0.8869613
123,-12,-2.318804491150472,20.125951767536478,-12.8911762,-0.0040496,2.4793389,0.2105058,0.5369068,4.0000000,0.4019819,1.0200574,11.3767967,0.6718317,0.7806111
124,-12,-2.311347851150472,20.125951767536478,-12.8909168,-0.0042975,1.6528926,0.1565658,0.4839743,4.0000000,0.3376552,1.0196986,11.2770004,0.6302934,0.6628614
125,-12,-2.587243531150472,20.118495127536480,-12.9058018,0.0007438,27.2727280,-0.0155594,-0.1547588,4.0000000,-0.1891465,1.0274314,13.2733364,-0.1203711,0.1428062
126,-12,-2.579786891150472,20.118495127536480,-12.9054213,0.0004132,25.6198349,-0.0289464,-0.0795023,4.0000000,-0.0752686,1.0272135,13.2194719,-0.0837360,0.0925476
127,-12,-2.572330251150472,20.118495127536480,-12.9050303,-0.0000826,23.1404953,-0.0309792,-0.0002439,4.0000000,0.0351462,1.0269408,13.1532173,-0.0356339,0.0689123
128,-12,-2.564873611150472,20.118495127536480,-12.9046373,-0.0004959,20.6611576,-0.0206083,0.0762819,4.0000000,0.1272767,1.0266347,13.0786304,0.0252871,0.0725763
129,-12,-2.557416971150472,20.118495127536480,-12.9042482,-0.0008264,19.0082645,-0.0014169,0.1412469,4.0000000,0.1915250,1.0263216,13.0010252,0.0909688,0.0933867
130,-12,-2.549960331150472,20.118495127536480,-12.9038668,-0.0011570,17.3553715,0.0222603,0.1958709,4.0000000,0.2343184,1.0260135,12.9252739,0.1574234,0.1225489
131,-12,-2.542503691150472,20.118495127536480,-12.9034967,-0.0014876,15.7024794,0.0462376,0.2408328,4.0000000,0.2554195,1.0257287,12.8564739,0.2262461,0.1553971
132,-12,-2.535047051150472,20.118495127536480,-12.9031401,-0.0019008,14.0495872,0.0668248,0.2762133,4.0000000,0.2597254,1.0254872,12.7942009,0.2927012,0.1888732
133,-12,-2.527590411150472,20.118495127536480,-12.9027958,-0.0023140,11.5702477,0.0782436,0.2985103,4.0000000,0.2425983,1.0252812,12.7438297,0.3544223,0.2174965
134,-12,-2.520133771150472,20.118495127536480,-12.9024668,-0.0026446,9.9173555,0.0804321,0.3118200,4.0000000,0.2113917,1.0251184,12.7043161,0.4122483,0.2452648
135,-12,-2.512677131150472,20.118495127536480,-12.9021482,-0.0029752,8.2644625,0.0674444,0.3119962,4.0000000,0.1594127,1.0250130,12.6777792,0.4645796,0.2708288
136,-12,-2.505220491150472,20.118495127536480,-12.9018393,-0.0033058,6.6115704,0.0365910,0.2975978,4.0000000,0.0869286,1.0249577,12.6625738,0.5082670,0.2968908
137,-12,-2.497763851150472,20.118495127536480,-12.9015350,-0.0037190,4.9586778,-0.0113131,0.2718828,4.0000000,-0.0023705,1.0249449,12.6604528,0.5461361,0.3354321
138,-12,-2.490307211150472,20.118495127536480,-12.9012299,-0.0039669,4.1322312,-0.0561747,0.2519259,4.0000000,-0.0738926,1.0249726,12.6694746,0.5777443,0.3867488
139,-12,-2.482850571150472,20.118495127536480,-12.9009180,-0.0042149,3.3057852,-0.0873249,0.2443702,4.0000000,-0.1157870,1.0250340,12.6864977,0.6045274,0.4377813
140,-12,-2.475393931150472,20.118495127536480,-12.9005985,-0.0044628,2.4793389,-0.1026835,0.2490159,4.0000000,-0.1296171,1.0251086,12.7041283,0.6276488,0.4805632
141,-12,-2.467937291150472,20.118495127536480,-12.9002686,-0.0047107,1.6528926,-0.1133904,0.2553545,4.0000000,-0.1347848,1.0251791,12.7213259,0.6454937,0.5172768
142,-12,-2.460480651150472,20.118495127536480,-12.8999290,0.0049587,48.7603302,-0.1235612,0.2618731,4.0000000,-0.1376173,1.0252348,12.7366962,0.6613635,0.5536543
143,-12,-2.453024011150472,20.118495127536480,-12.8995800,0.0047107,47.1074371,-0.1351158,0.2672039,4.0000000,-0.1407019,1.0252817,12.7498093,0.6751097,0.5907862
144,-12,-2.445567371150472,20.118495127536480,-12.8992186,0.0044628,45.4545441,-0.1439303,0.2736090,4.0000000,-0.1390090,1.0253214,12.7583265,0.6862270,0.6247885
145,-12,-2.438110731150472,20.118495127536480,-12.8988457,0.0042149,43.8016510,-0.1476679,0.2836444,4.0000000,-0.1297741,1.0253439,12.7651634,0.6970630,0.6568674
146,-12,-2.430654091150472,20.118495127536480,-12.8984623,0.0038843,41.3223152,-0.1462387,0.2982728,4.0000000,-0.1132101,1.0253522,12.7677422,0.7097557,0.6901688
147,-12,-2.423197451150472,20.118495127536480,-12.8980665,0.0034711,38.8429756,-0.1274472,0.3236143,4.0000000,-0.0763132,1.0253416,12.7654724,0.7235417,0.7168258
