OID_,RegG,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
99,-13,-4.354467211150472,19.343004567536479,-13.1908846,-0.0041322,17.3553715,-2.0934927,0.0347127,4.0000000,-0.9351291,1.0757091,21.6483707,1.0045545,5.6170964
100,-13,-4.347010571150472,19.343004567536479,-13.1890736,0.0039669,46.2809906,-2.0800743,-0.0552204,4.0000000,-0.8147459,1.0797958,22.1864357,0.7043051,5.7295518
101,-13,-4.339553931150472,19.343004567536479,-13.1871662,0.0020661,38.8429756,-2.1578915,-0.1524767,4.0000000,-0.6978068,1.0839139,22.7114449,0.3928535,6.1747570
102,-13,-4.332097291150472,19.343004567536479,-13.1851501,0.0000826,32.2314034,-2.2940805,-0.2490930,4.0000000,-0.5731403,1.0881674,23.2376385,0.0749543,6.8677821
103,-13,-4.324640651150472,19.343004567536479,-13.1830149,-0.0019835,26.4462814,-2.4687438,-0.3429013,4.0000000,-0.4385947,1.0926341,23.7747364,-0.2472078,7.7494526
104,-13,-4.317184011150472,19.343004567536479,-13.1807480,-0.0043802,20.6611576,-2.6508484,-0.4261366,4.0000000,-0.2891315,1.0973818,24.3293056,-0.5631418,8.6912527
105,-13,-4.309727371150472,19.343004567536479,-13.1783409,0.0030579,44.6280975,-2.8385861,-0.4991649,4.0000000,-0.1277966,1.1024468,24.9042053,-0.8705333,9.6676464
106,-13,-4.302270731150472,19.343004567536479,-13.1757851,0.0005785,36.3636360,-3.0089533,-0.5576646,4.0000000,0.0438428,1.1078711,25.4995384,-1.1591721,10.5672302
107,-13,-4.294814091150472,19.343004567536479,-13.1730738,-0.0021488,28.9256191,-3.1545229,-0.5988518,4.0000000,0.2250058,1.1136420,26.1149578,-1.4227093,11.3279066
108,-13,-4.287357451150472,19.343004567536479,-13.1702032,-0.0050413,22.3140488,-3.2709219,-0.6215008,4.0000000,0.4106499,1.1196612,26.7370853,-1.6536515,11.9093752
109,-13,-4.279900811150472,19.343004567536479,-13.1671715,0.0019008,40.4958687,-3.3681397,-0.6294642,4.0000000,0.5941280,1.1258832,27.3588238,-1.8530563,12.3599339
110,-13,-4.272444171150472,19.343004567536479,-13.1639786,-0.0013223,32.2314034,-3.4436750,-0.6227785,4.0000000,0.7700572,1.1322300,27.9738083,-2.0156143,12.6769123
111,-13,-4.264987531150472,19.343004567536479,-13.1606274,-0.0047107,24.7933884,-3.4762623,-0.5917519,4.0000000,0.9386928,1.1386172,28.5743923,-2.1221967,12.7510500
112,-13,-4.257530891150472,19.343004567536479,-13.1571198,0.0019008,42.1487617,-3.4515958,-0.5341483,4.0000000,1.0957905,1.1448412,29.1426983,-2.1640871,12.5566015
113,-13,-4.250074251150472,19.343004567536479,-13.1534672,-0.0017355,33.0578499,-3.3640716,-0.4495881,4.0000000,1.2375556,1.1506639,29.6611996,-2.1367319,12.1281967
114,-13,-4.242617611150472,19.343004567536479,-13.1496801,0.0044628,47.9338837,-3.2086921,-0.3367487,4.0000000,1.3650184,1.1559453,30.1203136,-2.0385158,11.5255241
115,-13,-4.235160971150472,19.343004567536479,-13.1457720,0.0008264,38.8429756,-2.9897559,-0.2030754,4.0000000,1.4747921,1.1604261,30.4999485,-1.8809429,10.8638487
116,-13,-4.227704331150472,19.343004567536479,-13.1417627,-0.0031405,29.7520657,-2.7198677,-0.0559155,4.0000000,1.5685445,1.1639802,30.7956619,-1.6803755,10.2597952
117,-13,-4.220247691150472,19.343004567536479,-13.1376677,0.0028099,44.6280975,-2.4131215,0.0979250,4.0000000,1.6484257,1.1665403,31.0073338,-1.4525757,9.7953615
118,-13,-4.212791051150472,19.343004567536479,-13.1335087,-0.0011570,35.5371895,-2.0635562,0.2570784,4.0000000,1.7164062,1.1680501,31.1288910,-1.2022495,9.4608154
119,-13,-4.205334411150472,19.343004567536479,-13.1293020,0.0047107,49.5867767,-1.6860424,0.4155580,4.0000000,1.7743946,1.1685194,31.1666241,-0.9432787,9.2829943
120,-13,-4.197877771150472,19.343004567536479,-13.1250677,0.0006612,40.4958687,-1.2605367,0.5800977,4.0000000,1.8260723,1.1679444,31.1206913,-0.6658769,9.2423372
