OID_,RegB,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
118,-13,-3.884698891150471,17.993352727536479,-13.0498009,0.0045455,48.7603302,-0.1146623,-0.2271575,4.0000000,0.1198207,1.0552273,18.6271534,-0.5741357,0.5006769
119,-13,-3.877242251150471,17.993352727536479,-13.0473166,0.0019835,39.6694221,-0.1617934,-0.1684044,4.0000000,0.1441900,1.0561131,18.7717056,-0.4809988,0.5170015
120,-13,-3.869785611150471,17.993352727536479,-13.0448112,-0.0001653,30.5785122,-0.2251430,-0.1001794,4.0000000,0.1710697,1.0566629,18.8599739,-0.3714285,0.5978435
121,-13,-3.862328971150471,17.993352727536479,-13.0422926,-0.0025620,21.4876041,-0.3047977,-0.0283777,4.0000000,0.1996701,1.0568330,18.8870602,-0.2564255,0.7618972
122,-13,-4.026375051150471,17.985896087536478,-13.0901747,-0.0051240,0.0000000,-0.8460165,-0.1941201,4.0000000,0.1971716,1.0271519,13.2039204,-0.5854117,2.0337017
123,-13,-4.018918411150471,17.985896087536478,-13.0884228,0.0033884,42.1487617,-0.7670214,-0.1550260,4.0000000,0.1787071,1.0287131,13.5705719,-0.4887590,1.8130282
124,-13,-4.011461771150471,17.985896087536478,-13.0866280,0.0015702,33.0578499,-0.6780174,-0.1251531,4.0000000,0.1644324,1.0302132,13.9094210,-0.4147386,1.5887127
125,-13,-4.004005131150471,17.985896087536478,-13.0847940,-0.0002479,23.9669418,-0.5854645,-0.1063626,4.0000000,0.1538715,1.0316268,14.2230873,-0.3665967,1.3700041
126,-13,-3.996548491150471,17.985896087536478,-13.0829248,-0.0020661,14.8760328,-0.4959920,-0.0985925,4.0000000,0.1460565,1.0329895,14.5175114,-0.3432415,1.1669427
127,-13,-3.989091851150471,17.985896087536478,-13.0810204,-0.0042149,5.7851238,-0.4105142,-0.0966114,4.0000000,0.1412890,1.0343226,14.8003025,-0.3345118,0.9756305
128,-13,-3.981635211150471,17.985896087536478,-13.0790834,0.0037190,46.2809906,-0.3358650,-0.1077947,4.0000000,0.1344653,1.0356009,15.0634794,-0.3500546,0.8180109
129,-13,-3.974178571150471,17.985896087536478,-13.0771151,0.0018182,37.1900826,-0.2793165,-0.1371523,4.0000000,0.1282538,1.0368924,15.3235722,-0.4025583,0.7209817
130,-13,-3.966721931150471,17.985896087536478,-13.0751123,0.0000000,28.0991745,-0.2343899,-0.1811736,4.0000000,0.1191520,1.0382801,15.6000242,-0.4814993,0.6790842
131,-13,-3.959265291150472,17.985896087536478,-13.0730715,-0.0019008,19.0082645,-0.1942620,-0.2231673,4.0000000,0.1103193,1.0397590,15.8900242,-0.5566539,0.6608622
132,-13,-3.951808651150472,17.985896087536478,-13.0709915,-0.0042149,9.9173555,-0.1576576,-0.2651610,4.0000000,0.0996600,1.0413171,16.1888351,-0.6299819,0.6660684
133,-13,-3.944352011150472,17.985896087536478,-13.0688686,0.0033884,44.6280975,-0.1253100,-0.3041260,4.0000000,0.0882989,1.0429716,16.4982510,-0.6965509,0.6887597
134,-13,-3.936895371150472,17.985896087536478,-13.0667000,0.0012397,35.5371895,-0.0961211,-0.3337775,4.0000000,0.0773925,1.0446988,16.8188686,-0.7449476,0.7050765
