OID_,RegI,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
83,-12,-2.371000971150472,18.843409687536479,-12.9823790,-0.0017355,0.0000000,0.0476883,-0.2581856,4.0000000,-0.2694909,1.0047584,5.5829449,-0.2468802,0.1746704
84,-12,-2.363544331150472,18.843409687536479,-12.9828959,-0.0012397,0.0000000,0.0654991,-0.3084294,5.0000000,-0.2991343,1.0045174,5.4381127,-0.3177245,0.2539623
85,-12,-2.356087691150472,18.843409687536479,-12.9833841,-0.0008264,0.0000000,0.0758373,-0.3475617,4.0000000,-0.3130725,1.0042703,5.2844067,-0.3820508,0.3368118
86,-12,-2.348631051150472,18.843409687536479,-12.9838419,-0.0004959,0.0000000,0.0756324,-0.3743229,4.0000000,-0.3130318,1.0040327,5.1329436,-0.4356141,0.4150962
87,-12,-2.341174411150472,18.843409687536479,-12.9842634,-0.0002479,0.0000000,0.0611951,-0.3906115,4.0000000,-0.3056925,1.0038201,4.9924965,-0.4755305,0.4943797
88,-12,-2.333717771150472,18.843409687536479,-12.9846487,-0.0000826,0.0000000,0.0295591,-0.3852045,4.0000000,-0.2808475,1.0036538,4.8810339,-0.4895614,0.5410576
89,-12,-2.326261131150472,18.843409687536479,-12.9849949,0.0000000,0.0000000,-0.0161696,-0.3626904,4.0000000,-0.2458227,1.0035508,4.8111601,-0.4795581,0.5652514
90,-12,-2.318804491150472,18.843409687536479,-12.9853058,0.0000000,0.0000000,-0.0703868,-0.3228331,4.0000000,-0.1975287,1.0035253,4.7920389,-0.4481375,0.5643811
91,-12,-2.311347851150472,18.843409687536479,-12.9855833,0.0000826,0.8264463,-0.1255771,-0.2739132,4.0000000,-0.1467035,1.0035720,4.8243761,-0.4011229,0.5581511
92,-12,-2.303891211150472,18.843409687536479,-12.9858313,0.0001653,1.6528926,-0.1728791,-0.2162172,4.0000000,-0.0885725,1.0036898,4.9060464,-0.3438620,0.5398185
93,-12,-2.296434571150472,18.843409687536479,-12.9860554,0.0003306,3.3057852,-0.2066575,-0.1488240,4.0000000,-0.0175902,1.0038714,5.0272675,-0.2800579,0.5090981
94,-12,-2.288977931150472,18.843409687536479,-12.9862604,0.0004959,4.9586778,-0.2174065,-0.0705871,4.0000000,0.0747652,1.0041083,5.1819897,-0.2159394,0.4619143
95,-12,-2.281521291150472,18.843409687536479,-12.9864540,0.0006612,6.6115704,-0.2007688,0.0225415,4.0000000,0.1996593,1.0043905,5.3587961,-0.1545764,0.4108482
96,-12,-2.274064651150473,18.843409687536479,-12.9866447,0.0009091,9.0909090,-0.1564358,0.1331450,4.0000000,0.3645579,1.0047057,5.5490942,-0.0982680,0.3922474
97,-12,-2.266608011150473,18.843409687536479,-12.9868441,0.0012397,12.3966942,-0.0856105,0.2597061,4.0000000,0.5644127,1.0050483,5.7499075,-0.0450005,0.4532732
98,-12,-2.259151371150473,18.843409687536479,-12.9870644,0.0015702,15.7024794,0.0002521,0.3935117,4.0000000,0.7728774,1.0054232,5.9602985,0.0141460,0.6391189
99,-12,-2.251694731150473,18.843409687536479,-12.9873219,0.0019835,19.8347111,0.0922838,0.5363275,4.0000000,0.9698546,1.0058383,6.1819725,0.1028006,0.9999928
100,-12,-2.244238091150473,18.843409687536479,-12.9876318,0.0024793,24.7933884,0.1743418,0.6884843,4.0000000,1.1290835,1.0063130,6.4263697,0.2478850,1.6026649
101,-12,-2.438110731150472,18.835953047536478,-12.9780521,0.0023967,23.9669418,0.1555433,0.4604718,4.0000000,0.5067296,1.0042117,5.2583957,0.4142140,0.5469335
102,-12,-2.430654091150472,18.835953047536478,-12.9785204,0.0030579,30.5785122,0.1028213,0.3814167,4.0000000,0.3931572,1.0045149,5.4444046,0.3696762,0.3833165
103,-12,-2.423197451150472,18.835953047536478,-12.9790211,0.0038017,38.0165291,0.0600570,0.3024865,3.0000000,0.2835456,1.0047758,5.5983238,0.3214273,0.2504111
104,-12,-2.415740811150473,18.835953047536478,-12.9795494,0.0046281,46.2809906,0.0270157,0.2202528,4.0000000,0.1757203,1.0049839,5.7192206,0.2647854,0.1424423
105,-12,-2.408284171150473,18.835953047536478,-12.9800978,-0.0045455,0.0000000,0.0047400,0.1305565,4.0000000,0.0680780,1.0051177,5.7963061,0.1930351,0.0595769
106,-12,-2.400827531150473,18.835953047536478,-12.9806585,-0.0037190,0.0000000,-0.0051432,0.0411103,4.0000000,-0.0303855,1.0051681,5.8236151,0.1126061,0.0172796
107,-12,-2.393370891150473,18.835953047536478,-12.9812241,-0.0029752,0.0000000,-0.0035453,-0.0430344,4.0000000,-0.1161646,1.0051410,5.8062601,0.0300958,0.0149329
108,-12,-2.385914251150473,18.835953047536478,-12.9817867,-0.0023140,0.0000000,0.0073615,-0.1202241,4.0000000,-0.1860833,1.0050406,5.7476182,-0.0543649,0.0442977
109,-12,-2.378457611150472,18.835953047536478,-12.9823399,-0.0017355,0.0000000,0.0237046,-0.1865953,4.0000000,-0.2369959,1.0048755,5.6497812,-0.1361948,0.0940462
110,-12,-2.371000971150472,18.835953047536478,-12.9828768,-0.0012397,0.0000000,0.0414979,-0.2421439,4.0000000,-0.2681471,1.0046703,5.5290256,-0.2161408,0.1546366
111,-12,-2.363544331150472,18.835953047536478,-12.9833918,-0.0008264,0.0000000,0.0558523,-0.2849004,5.0000000,-0.2801856,1.0044429,5.3893719,-0.2896152,0.2167343
112,-12,-2.356087691150472,18.835953047536478,-12.9838810,-0.0004959,0.0000000,0.0623783,-0.3177397,5.0000000,-0.2773873,1.0042158,5.2472396,-0.3580922,0.2833744
113,-12,-2.348631051150472,18.835953047536478,-12.9843426,-0.0002479,0.0000000,0.0579598,-0.3394040,4.0000000,-0.2625757,1.0040010,5.1117067,-0.4162324,0.3495651
114,-12,-2.341174411150472,18.835953047536478,-12.9847708,-0.0000826,0.0000000,0.0410181,-0.3530241,4.0000000,-0.2415626,1.0038151,4.9890714,-0.4644855,0.4216342
115,-12,-2.333717771150472,18.835953047536478,-12.9851665,0.0000000,0.0000000,0.0095468,-0.3490834,4.0000000,-0.2074530,1.0036765,4.8953471,-0.4907137,0.4737806
116,-12,-2.326261131150472,18.835953047536478,-12.9855270,0.0000826,0.8264463,-0.0341275,-0.3312119,4.0000000,-0.1652204,1.0035993,4.8419447,-0.4972034,0.5127755
117,-12,-2.318804491150472,18.835953047536478,-12.9858561,0.0001653,1.6528926,-0.0857471,-0.2991697,4.0000000,-0.1140687,1.0035927,4.8377528,-0.4842708,0.5355200
118,-12,-2.311347851150472,18.835953047536478,-12.9861546,0.0003306,3.3057852,-0.1365473,-0.2609905,4.0000000,-0.0651894,1.0036563,4.8829145,-0.4567917,0.5520486
119,-12,-2.303891211150472,18.835953047536478,-12.9864264,0.0004959,4.9586778,-0.1803783,-0.2169492,4.0000000,-0.0160089,1.0037915,4.9733367,-0.4178894,0.5560402
120,-12,-2.296434571150472,18.835953047536478,-12.9866762,0.0007438,7.4380164,-0.2105557,-0.1653876,4.0000000,0.0403114,1.0039852,5.1005979,-0.3710867,0.5379181
121,-12,-2.288977931150472,18.835953047536478,-12.9869080,0.0009917,9.9173555,-0.2234895,-0.1029639,4.0000000,0.1145760,1.0042319,5.2585330,-0.3205039,0.4969470
122,-12,-2.281521291150472,18.835953047536478,-12.9871292,0.0012397,12.3966942,-0.2144607,-0.0282902,4.0000000,0.2142715,1.0045209,5.4368849,-0.2708519,0.4397400
123,-12,-2.274064651150473,18.835953047536478,-12.9873457,0.0015702,15.7024794,-0.1858167,0.0648629,4.0000000,0.3514289,1.0048398,5.6292706,-0.2217031,0.3967881
124,-12,-2.266608011150473,18.835953047536478,-12.9875679,0.0019835,19.8347111,-0.1389258,0.1752236,4.0000000,0.5217683,1.0051905,5.8314552,-0.1713212,0.4116568
125,-12,-2.259151371150473,18.835953047536478,-12.9878092,0.0023967,23.9669418,-0.0822146,0.2950686,4.0000000,0.6990447,1.0055695,6.0392270,-0.1089075,0.5296907
