OID_,RegJ,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
121,-12,-2.855682571150472,19.954449047536482,-12.9567938,0.0012397,37.1900826,-0.1040126,-0.2014622,4.0000000,0.1744442,1.0502602,17.8136425,-0.5773687,0.4166560
122,-12,-2.848225931150472,19.954449047536482,-12.9566565,0.0010744,36.3636360,-0.0912427,-0.2277232,4.0000000,0.1498851,1.0502304,17.8080101,-0.6053314,0.4356440
123,-12,-2.840769291150472,19.954449047536482,-12.9565296,0.0009917,36.3636360,-0.0676972,-0.2626123,4.0000000,0.1069096,1.0501332,17.7906303,-0.6321343,0.4563571
124,-12,-2.833312651150472,19.954449047536482,-12.9564104,0.0009091,36.3636360,-0.0330782,-0.3041560,4.0000000,0.0475434,1.0499678,17.7635956,-0.6558554,0.4819357
125,-12,-2.825856011150472,19.954449047536482,-12.9562931,0.0009091,36.3636360,0.0099905,-0.3523959,4.0000000,-0.0234948,1.0497389,17.7246380,-0.6812971,0.5269377
126,-12,-2.818399371150472,19.954449047536482,-12.9561739,0.0008264,35.5371895,0.0569503,-0.4028701,4.0000000,-0.0982921,1.0494430,17.6736698,-0.7074481,0.5947519
127,-12,-2.810942731150472,19.954449047536482,-12.9560480,0.0007438,34.7107430,0.1056719,-0.4532305,4.0000000,-0.1731507,1.0490733,17.6099892,-0.7333103,0.6835274
128,-12,-2.803486091150472,19.954449047536482,-12.9559097,0.0006612,33.8842964,0.1530193,-0.5007566,4.0000000,-0.2422161,1.0486380,17.5343323,-0.7592971,0.7868804
129,-12,-2.796029451150472,19.954449047536482,-12.9557543,0.0005785,33.0578499,0.2020651,-0.5472289,4.0000000,-0.3072437,1.0481551,17.4496002,-0.7872142,0.9022817
130,-12,-2.788572811150472,19.954449047536482,-12.9555769,0.0004132,32.2314034,0.2483267,-0.5882352,4.0000000,-0.3624403,1.0476470,17.3605709,-0.8140302,1.0137491
