OID_,RegC,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
106,-13,-3.504410251150471,18.589883927536480,-13.0014257,-0.0039669,0.0000000,-1.5043795,-0.2733176,4.0000000,0.0376409,1.0078827,7.1600790,-0.5842761,3.4073355
107,-13,-3.496953611150472,18.589883927536480,-13.0011740,-0.0042149,0.0000000,-1.5233033,-0.2420860,4.0000000,0.1695338,1.0069671,6.7339840,-0.6537059,3.3675232
108,-12,-3.668456331150471,18.582427287536479,-12.9990644,0.0041322,47.9338837,-0.5183405,0.1275517,4.0000000,0.8447585,1.0353209,15.0450163,-0.5896550,1.2990532
109,-12,-3.660999691150471,18.582427287536479,-12.9994469,0.0043802,48.7603302,-0.3680826,-0.0367365,4.0000000,0.5257666,1.0357476,15.1355877,-0.5992396,0.8491415
110,-12,-3.653543051150471,18.582427287536479,-12.9998646,0.0047107,50.4132233,-0.2466894,-0.1808027,4.0000000,0.2416023,1.0358404,15.1561852,-0.6032076,0.6953642
111,-13,-3.646086411150471,18.582427287536479,-13.0003014,-0.0049587,2.4793389,-0.1598359,-0.3048382,4.0000000,-0.0090808,1.0355831,15.1024981,-0.6005957,0.7675716
112,-13,-3.638629771150471,18.582427287536479,-13.0007467,-0.0046281,3.3057852,-0.1024708,-0.4177533,4.0000000,-0.2389675,1.0349779,14.9770355,-0.5965391,1.0142919
113,-13,-3.631173131150471,18.582427287536479,-13.0011883,-0.0042975,4.1322312,-0.0549444,-0.5289710,4.0000000,-0.4651261,1.0340416,14.7788677,-0.5928159,1.3972416
114,-13,-3.623716491150471,18.582427287536479,-13.0016155,-0.0039669,4.9586778,-0.0221866,-0.6336882,4.0000000,-0.6770256,1.0327959,14.5108995,-0.5903507,1.8892123
115,-13,-3.616259851150471,18.582427287536479,-13.0020161,-0.0035537,5.7851238,-0.0116113,-0.7260363,4.0000000,-0.8620968,1.0312855,14.1789846,-0.5899758,2.4426200
116,-13,-3.608803211150471,18.582427287536479,-13.0023813,-0.0031405,6.6115704,-0.0376325,-0.7965624,4.0000000,-0.9996508,1.0295732,13.7924080,-0.5934740,2.9829607
117,-13,-3.601346571150471,18.582427287536479,-13.0027018,-0.0029752,6.6115704,-0.1091710,-0.8391881,4.0000000,-1.0807958,1.0277268,13.3603611,-0.5975804,3.4396267
118,-13,-3.593889931150471,18.582427287536479,-13.0029736,-0.0028099,6.6115704,-0.2161535,-0.8545076,4.0000000,-1.1051186,1.0258151,12.8988972,-0.6038966,3.7647846
119,-13,-3.586433291150471,18.582427287536479,-13.0031939,-0.0026446,6.6115704,-0.3379039,-0.8520262,4.0000000,-1.0910041,1.0238901,12.4152699,-0.6130483,3.9792836
120,-13,-3.578976651150471,18.582427287536479,-13.0033627,-0.0025620,5.7851238,-0.4608627,-0.8376670,4.0000000,-1.0549010,1.0219969,11.9187031,-0.6204330,4.1042743
121,-13,-3.571520011150471,18.582427287536479,-13.0034800,-0.0025620,4.9586778,-0.5652675,-0.8214269,4.0000000,-1.0128976,1.0201571,11.4153099,-0.6299561,4.1765881
122,-13,-3.564063371150471,18.582427287536479,-13.0035439,-0.0025620,4.1322312,-0.6519075,-0.8042425,4.0000000,-0.9625677,1.0183933,10.9106817,-0.6459173,4.2065296
123,-13,-3.556606731150471,18.582427287536479,-13.0035553,-0.0025620,3.3057852,-0.7440774,-0.7736589,5.0000000,-0.8803767,1.0167377,10.4135313,-0.6669412,4.1614699
124,-13,-3.549150091150471,18.582427287536479,-13.0035124,-0.0025620,2.4793389,-0.8485596,-0.7207810,4.0000000,-0.7507350,1.0152016,9.9283676,-0.6908269,4.0133691
125,-13,-3.541693451150471,18.582427287536479,-13.0034170,-0.0025620,1.6528926,-0.9574491,-0.6498162,4.0000000,-0.5828437,1.0137802,9.4568872,-0.7167887,3.8020067
126,-13,-3.534236811150471,18.582427287536479,-13.0032749,-0.0026446,0.8264463,-1.0572478,-0.5692753,4.0000000,-0.4004751,1.0124644,8.9979563,-0.7380755,3.5742059
127,-13,-3.526780171150471,18.582427287536479,-13.0030918,-0.0027273,0.0000000,-1.1341590,-0.4914733,4.0000000,-0.2285735,1.0112470,8.5516357,-0.7543731,3.3705084
128,-13,-3.519323531150471,18.582427287536479,-13.0028715,-0.0028099,0.0000000,-1.1880404,-0.4258677,4.0000000,-0.0806300,1.0101262,8.1158562,-0.7711054,3.2167609
129,-13,-3.511866891150471,18.582427287536479,-13.0026188,-0.0028926,0.0000000,-1.2249466,-0.3762660,4.0000000,0.0415605,1.0091023,7.6963363,-0.7940924,3.1156785
130,-13,-3.504410251150471,18.582427287536479,-13.0023327,-0.0030579,0.0000000,-1.2522346,-0.3383379,4.0000000,0.1508453,1.0081810,7.2973733,-0.8275211,3.0492837
131,-13,-3.496953611150472,18.582427287536479,-13.0020142,-0.0033058,0.0000000,-1.2749274,-0.3021426,4.0000000,0.2689659,1.0073661,6.9247432,-0.8732511,2.9913299
132,-13,-3.489496971150472,18.582427287536479,-13.0016623,-0.0036364,0.0000000,-1.2990888,-0.2611904,4.0000000,0.4035049,1.0066510,6.5812292,-0.9258858,2.9386623
133,-13,-3.482040331150472,18.582427287536479,-13.0012779,-0.0040496,0.0000000,-1.3134427,-0.2164161,4.0000000,0.5468032,1.0060334,6.2679443,-0.9796353,2.8745162
134,-13,-3.668456331150471,18.574970647536478,-13.0010166,-0.0039669,3.3057852,-0.7015757,-0.0927295,4.0000000,0.7135401,1.0338861,14.7482119,-0.8989992,1.6241415
