OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
972,,-6.755505291150471,19.193871767536479,-13.1057272,-0.0006612,42.1487617,1.9511050,-1.8447188,4.0000000,-0.8060011,1.2096442,34.2422218,-2.8834364
973,,-6.748048651150471,19.193871767536479,-13.1106577,-0.0055372,31.4049587,2.0547125,-1.8909942,4.0000000,-0.8840095,1.1941212,33.1293449,-2.8979788
974,,-6.740592011150471,19.193871767536479,-13.1153822,-0.0009091,40.4958687,2.1019230,-1.9203937,4.0000000,-0.9605896,1.1790760,31.9875278,-2.8801978
975,,-6.733135371150471,19.193871767536479,-13.1199036,0.0032231,49.5867767,2.0767472,-1.9306495,4.0000000,-1.0328618,1.1647025,30.8343792,-2.8284373
976,,-6.725678731150471,19.193871767536479,-13.1242266,-0.0022314,35.5371895,1.9877729,-1.9316119,4.0000000,-1.0984306,1.1511458,29.6820850,-2.7647932
977,,-6.718222091150471,19.193871767536479,-13.1283579,0.0018182,44.6280975,1.8322531,-1.9244376,4.0000000,-1.1541973,1.1384290,28.5377846,-2.6946781
978,,-6.710765451150471,19.193871767536479,-13.1323023,-0.0045455,27.2727280,1.6155578,-1.9130833,4.0000000,-1.1970769,1.1266073,27.4103699,-2.6290896
979,,-6.703308811150471,19.193871767536479,-13.1360693,-0.0006612,36.3636360,1.3395976,-1.8979384,4.0000000,-1.2218190,1.1157302,26.3106899,-2.5740576
980,,-6.695852171150471,19.193871767536479,-13.1396656,0.0029752,45.4545441,1.0222248,-1.8853934,4.0000000,-1.2245040,1.1057355,25.2426510,-2.5462825
981,,-6.688395531150471,19.193871767536479,-13.1430979,-0.0038017,26.4462814,0.6693600,-1.8725983,5.0000000,-1.2015828,1.0966189,24.2111759,-2.5436139
982,,-6.680938891150471,19.193871767536479,-13.1463728,-0.0005785,35.5371895,0.2986992,-1.8619589,4.0000000,-1.1489067,1.0883827,23.2264595,-2.5750110
983,,-6.673482251150471,19.193871767536479,-13.1494980,0.0028926,44.6280975,-0.0790165,-1.8531713,4.0000000,-1.0622290,1.0809935,22.2945938,-2.6441135
984,,-6.666025611150471,19.193871767536479,-13.1524782,-0.0043802,20.6611576,-0.4407588,-1.8478560,4.0000000,-0.9429316,1.0743953,21.4195023,-2.7527804
985,,-6.658568971150471,19.193871767536479,-13.1553173,-0.0014050,29.7520657,-0.7708397,-1.8452179,4.0000000,-0.7920656,1.0685968,20.6125202,-2.8983703
986,,-6.651112331150471,19.193871767536479,-13.1580219,0.0017355,38.8429756,-1.0546823,-1.8449770,4.0000000,-0.6150733,1.0635518,19.8754730,-3.0748808
987,,-6.643655691150471,19.193871767536479,-13.1605940,-0.0058678,12.3966942,-1.2733861,-1.8468179,4.0000000,-0.4231045,1.0592092,19.2165775,-3.2705314
988,,-6.636199051150471,19.193871767536479,-13.1630363,-0.0033884,19.0082645,-1.4228438,-1.8476490,4.0000000,-0.2284604,1.0555677,18.6404457,-3.4668376
989,,-6.628742411150471,19.193871767536479,-13.1653528,-0.0007438,25.6198349,-1.5014293,-1.8457646,4.0000000,-0.0461985,1.0525694,18.1507950,-3.6453309
990,,-6.621285771150471,19.193871767536479,-13.1675434,0.0012397,33.0578499,-1.5184344,-1.8377044,4.0000000,0.1095815,1.0502025,17.7549706,-3.7849905
991,,-6.613829131150471,19.193871767536479,-13.1696119,0.0033058,41.3223152,-1.4759851,-1.8215322,4.0000000,0.2259048,1.0484458,17.4539967,-3.8689694
992,,-6.606372491150471,19.193871767536479,-13.1715593,-0.0045455,11.5702477,-1.3711985,-1.7979219,4.0000000,0.2925366,1.0472680,17.2516441,-3.8883803
993,,-6.598915851150471,19.193871767536479,-13.1733913,-0.0027273,16.5289249,-1.2160832,-1.7636770,4.0000000,0.3069855,1.0466189,17.1387463,-3.8343396
994,,-6.591459211150471,19.193871767536479,-13.1751089,-0.0009917,22.3140488,-1.0240042,-1.7190346,5.0000000,0.2747564,1.0464387,17.1113110,-3.7128255
995,,-6.584002571150471,19.193871767536479,-13.1767178,0.0007438,28.0991745,-0.8126397,-1.6621127,5.0000000,0.2083063,1.0466900,17.1608162,-3.5325320
996,,-6.457239691150471,19.193871767536479,-13.1945362,-0.0006612,27.2727280,-0.5150857,-0.5605662,4.0000000,-0.5434746,1.0504708,17.8401127,-0.5776578
997,,-6.449783051150471,19.193871767536479,-13.1954203,0.0000826,30.5785122,-0.6159993,-0.5640262,4.0000000,-0.6040903,1.0488664,17.5644169,-0.5239621
998,,-6.442326411150471,19.193871767536479,-13.1963081,0.0009917,34.7107430,-0.6856158,-0.5756416,4.0000000,-0.6680475,1.0471650,17.2641144,-0.4832357
999,,-6.434869771150471,19.193871767536479,-13.1971989,0.0018182,38.0165291,-0.7238110,-0.5940998,4.0000000,-0.7287422,1.0453931,16.9458523,-0.4594573
1000,,-6.427413131150471,19.193871767536479,-13.1980915,0.0026446,42.1487617,-0.7330351,-0.6168160,4.0000000,-0.7853992,1.0435904,16.6169529,-0.4482329
1001,,-6.419956491150471,19.193871767536479,-13.1989861,0.0033884,45.4545441,-0.7082595,-0.6442325,4.0000000,-0.8382291,1.0417877,16.2792892,-0.4502358
1002,,-6.412499851150471,19.193871767536479,-13.1998787,0.0042975,49.5867767,-0.6534748,-0.6770557,4.0000000,-0.8865231,1.0399975,15.9360037,-0.4675883
1003,,-6.405043211150471,19.193871767536479,-13.2007685,-0.0048760,4.9586778,-0.5695929,-0.7149676,4.0000000,-0.9307849,1.0382476,15.5937071,-0.4991503
1004,,-6.397586571150471,19.193871767536479,-13.2016535,-0.0039669,7.4380164,-0.4646318,-0.7547591,4.0000000,-0.9679996,1.0365473,15.2527494,-0.5415185
1005,,-6.390129931150471,19.193871767536479,-13.2025299,-0.0031405,9.9173555,-0.3379719,-0.7988156,4.0000000,-1.0028026,1.0349056,14.9147902,-0.5948286
1006,,-6.382673291150471,19.193871767536479,-13.2033958,-0.0022314,13.2231407,-0.1937299,-0.8466926,4.0000000,-1.0335941,1.0333259,14.5821886,-0.6597911
1007,,-6.375216651150471,19.193871767536479,-13.2042465,-0.0014050,16.5289249,-0.0345212,-0.8976170,4.0000000,-1.0619783,1.0318091,14.2543783,-0.7332558
1008,,-6.367760011150471,19.193871767536479,-13.2050810,-0.0004132,20.6611576,0.1312901,-0.9494410,4.0000000,-1.0875473,1.0303562,13.9326115,-0.8113347
