OID_,ClipsFinal_DEM_Large_S3_RegR,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
70,-13,-4.496143371150471,20.088668567536480,-13.2524786,-0.0001653,0.0000000,0.0430099,-0.5761717,4.0000000,-0.0760850,1.0009710,2.5053995,-1.0762584,1.2444243
71,-13,-4.488686731150471,20.088668567536480,-13.2527218,0.0000000,0.0000000,-0.0163313,-0.5791696,5.0000000,-0.1303826,1.0008138,2.2887013,-1.0279566,1.3771434
72,-13,-4.481230091150471,20.088668567536480,-13.2529097,0.0000000,0.0000000,-0.0887204,-0.5737358,4.0000000,-0.2919490,1.0007231,2.1495881,-0.8555226,1.4974326
73,-13,-4.473773451150471,20.088668567536480,-13.2530413,0.0000000,0.0000000,-0.1753807,-0.5586338,4.0000000,-0.5532509,1.0007085,2.1243238,-0.5640168,1.6034358
74,-13,-4.466316811150471,20.088668567536480,-13.2531137,0.0000000,0.0000000,-0.2698789,-0.5389920,4.0000000,-0.8482347,1.0007784,2.2274737,-0.2297493,1.7079723
75,-13,-4.458860171150471,20.088668567536480,-13.2531290,-0.0000826,0.0000000,-0.3765843,-0.5094263,5.0000000,-1.0798539,1.0009401,2.4513593,0.0610013,1.7999390
76,-13,-4.451403531150471,20.088668567536480,-13.2530861,-0.0002479,0.0000000,-0.4931589,-0.4706805,4.0000000,-1.2149718,1.0011972,2.7728906,0.2736108,1.8845769
77,-13,-4.443946891150471,20.088668567536480,-13.2529869,-0.0004959,0.0000000,-0.6176132,-0.4249709,4.0000000,-1.2785273,1.0015521,3.1626472,0.4285855,1.9740579
78,-13,-4.436490251150471,20.088668567536480,-13.2528334,-0.0007438,0.0000000,-0.7489565,-0.3742640,4.0000000,-1.3030193,1.0020063,3.6000917,0.5544912,2.0800865
79,-13,-4.429033611150471,20.088668567536480,-13.2526283,-0.0010744,0.0000000,-0.8837019,-0.3156615,4.0000000,-1.3021691,1.0025576,4.0685854,0.6708459,2.1943228
80,-13,-4.421576971150471,20.088668567536480,-13.2523756,-0.0014876,0.0000000,-1.0204084,-0.2557738,4.0000000,-1.2951763,1.0032028,4.5560837,0.7836287,2.3386958
81,-13,-4.414120331150471,20.088668567536480,-13.2520790,-0.0019008,0.0000000,-1.1628398,-0.1931486,4.0000000,-1.2861958,1.0039463,5.0586429,0.8998986,2.5206141
82,-13,-4.406663691150471,20.088668567536480,-13.2517414,-0.0023967,0.0000000,-1.3063384,-0.1302423,4.0000000,-1.2766190,1.0047913,5.5745177,1.0161345,2.7377350
83,-13,-4.511056651150471,20.081211927536479,-13.2516842,-0.0017355,0.0000000,0.1860518,-0.5860367,4.0000000,-0.1896128,1.0013621,2.9793372,-0.9824606,1.0045626
84,-13,-4.503600011150471,20.081211927536479,-13.2520132,-0.0008264,0.0000000,0.1584704,-0.6038756,4.0000000,-0.1665901,1.0011187,2.6951149,-1.0411611,1.1444421
85,-13,-4.496143371150471,20.081211927536479,-13.2522898,-0.0003306,0.0000000,0.1180145,-0.6145441,4.0000000,-0.1831304,1.0009178,2.4351406,-1.0459578,1.2773219
86,-13,-4.488686731150471,20.081211927536479,-13.2525120,-0.0000826,0.0000000,0.0645245,-0.6182646,5.0000000,-0.2765154,1.0007710,2.2261767,-0.9600139,1.4029109
87,-13,-4.481230091150471,20.081211927536479,-13.2526760,0.0000000,0.0000000,-0.0015377,-0.6147733,4.0000000,-0.4785331,1.0006915,2.1026752,-0.7510136,1.5184956
88,-13,-4.473773451150471,20.081211927536479,-13.2527809,0.0000000,0.0000000,-0.0815908,-0.6020980,4.0000000,-0.7597317,1.0006924,2.1001911,-0.4444642,1.6181238
89,-13,-4.466316811150471,20.081211927536479,-13.2528257,-0.0000826,0.0000000,-0.1724290,-0.5836543,5.0000000,-1.0320424,1.0007800,2.2318985,-0.1352662,1.7142533
90,-13,-4.458860171150471,20.081211927536479,-13.2528095,-0.0002479,0.0000000,-0.2719968,-0.5567523,4.0000000,-1.2148341,1.0009620,2.4829655,0.1013294,1.7933675
91,-13,-4.451403531150471,20.081211927536479,-13.2527332,-0.0004959,0.0000000,-0.3831065,-0.5206699,4.0000000,-1.3019837,1.0012408,2.8244832,0.2606438,1.8636023
92,-13,-4.443946891150471,20.081211927536479,-13.2525969,-0.0008264,0.0000000,-0.5029992,-0.4771310,4.0000000,-1.3292372,1.0016162,3.2297986,0.3749753,1.9340533
